"SPECIES_CODE","KINGDOM_TAXON","SUBKINGDOM_TAXON","PHYLUM_TAXON","SUBPHYLUM_TAXON","SUPERCLASS_TAXON","CLASS_TAXON","SUBCLASS_TAXON","INFRACLASS_TAXON","DIVISION_TAXON","SUBDIVISION_TAXON","SUPERORDER_TAXON","ORDER_TAXON","SUBORDER_TAXON","INFRAORDER_TAXON","SUPERFAMILY_TAXON","FAMILY_TAXON","SUBFAMILY_TAXON","TRIBE_TAXON","SUBTRIBE_TAXON","GENUS_TAXON","SUBGENUS_TAXON","SECTION_TAXON","SUBSECTION_TAXON","SPECIES_TAXON","SUBSPECIES_TAXON","REPORT_NAME_SCIENTIFIC"
2,"Animalia","","Chordata","Vertebrata","Osteichythyes","Actinopterygii","","","","","","","","","","","","","","","","","","","","Actinopterygii unid."
3,"Animalia","","Chordata","Vertebrata","Osteichythyes","Actinopterygii","","","","","","","","","","","","","","","","","","","","Actinopterygii unid."
10,"Animalia","","Chordata","Vertebrata","Agnatha","Cephalaspidomorphi","","","","","","Petromyzontiformes","","","","Petromyzontidae","","","","","","","","","","Petromyzontidae unid."
21,"Animalia","","Chordata","Vertebrata","Agnatha","Cephalaspidomorphi","","","","","","Petromyzontiformes","","","","Petromyzontidae","Petromyzontinae","","","Lampetra","","","","tridentata","","Lampetra tridentata"
100,"Animalia","","Chordata","Vertebrata","Agnatha","Myxini","","","","","","Myxiniformes","","","","Myxinidae","","","","","","","","","","Myxinidae unid."
109,"Animalia","","Chordata","Vertebrata","Agnatha","Myxini","","","","","","Myxiniformes","","","","Myxinidae","Eptatretinae","","","Eptatretus","","","","","","Eptatretus sp."
110,"Animalia","","Chordata","Vertebrata","Agnatha","Myxini","","","","","","Myxiniformes","","","","Myxinidae","Eptatretinae","","","Eptatretus","","","","deani","","Eptatretus deani"
120,"Animalia","","Chordata","Vertebrata","Agnatha","Myxini","","","","","","Myxiniformes","","","","Myxinidae","Eptatretinae","","","Eptatretus","","","","stouti","","Eptatretus stouti"
150,"Animalia","","Chordata","Vertebrata","","Chondrichthyes","Elasmobranchii","Euselachii","Neoselachii","Selachii","","","","","","","","","","","","","","","","Selachii unid."
151,"Animalia","","Chordata","Vertebrata","","Chondrichthyes","","","","","","","","","","","","","","","","","","","","Chondrichthyes unid."
160,"Animalia","","Chordata","Vertebrata","","Chondrichthyes","Elasmobranchii","Euselachii","Neoselachii","Selachii","","","","","","","","","","","","","","","","Selachii unid."
180,"Animalia","","Chordata","Vertebrata","","Chondrichthyes","Elasmobranchii","Euselachii","Neoselachii","Selachii","","Lamniformes","","","","Alopiidae","","","","Alopias","","","","vulpinus","","Alopias vulpinus"
200,"Animalia","","Chordata","Vertebrata","","Chondrichthyes","Elasmobranchii","Euselachii","Neoselachii","Selachii","","Carcharhiniformes","","","","Scyliorhinidae","","","","","","","","","","Scyliorhinidae unid."
201,"Animalia","","Chordata","Vertebrata","","Chondrichthyes","Elasmobranchii","Euselachii","Neoselachii","Selachii","","Carcharhiniformes","","","","Scyliorhinidae","","","","Apristurus","","","","brunneus","","Apristurus brunneus"
210,"Animalia","","Chordata","Vertebrata","","Chondrichthyes","Elasmobranchii","Euselachii","Neoselachii","Selachii","","Carcharhiniformes","","","","Scyliorhinidae","","","","Apristurus","","","","brunneus","","Apristurus brunneus"
211,"Animalia","","Chordata","Vertebrata","","Chondrichthyes","Elasmobranchii","Euselachii","Neoselachii","Selachii","","Carcharhiniformes","","","","Scyliorhinidae","","","","Parmaturus","","","","xaniurus","","Parmaturus xaniurus"
212,"Animalia","","Chordata","Vertebrata","","Chondrichthyes","Elasmobranchii","Euselachii","Neoselachii","Selachii","","Carcharhiniformes","","","","Scyliorhinidae","","","","Apristurus","","","","kampae","","Apristurus kampae"
213,"Animalia","","Chordata","Vertebrata","","Chondrichthyes","Elasmobranchii","Euselachii","Neoselachii","Selachii","","Carcharhiniformes","","","","Scyliorhinidae","","","","Apristurus","","","","","","Apristurus sp."
214,"Animalia","","Chordata","Vertebrata","","Chondrichthyes","Elasmobranchii","Euselachii","Neoselachii","Selachii","","Carcharhiniformes","","","","Scyliorhinidae","","","","Cephaloscyllium","","","","ventriosum","","Cephaloscyllium ventriosum"
222,"Animalia","","Chordata","Vertebrata","","Chondrichthyes","Elasmobranchii","Euselachii","Neoselachii","Selachii","","Hexanchiformes","","","","Hexanchidae","","","","Hexanchus","","","","griseus","","Hexanchus griseus"
232,"Animalia","","Chordata","Vertebrata","","Chondrichthyes","Elasmobranchii","Euselachii","Neoselachii","Selachii","","Lamniformes","","","","Lamnidae","","","","Lamna","","","","ditropis","","Lamna ditropis"
242,"Animalia","","Chordata","Vertebrata","","Chondrichthyes","Elasmobranchii","Euselachii","Neoselachii","Selachii","","Lamniformes","","","","Cetorhinidae","","","","Cetorhinus","","","","maximus","","Cetorhinus maximus"
252,"Animalia","","Chordata","Vertebrata","","Chondrichthyes","Elasmobranchii","Euselachii","Neoselachii","Selachii","","Squatiniformes","","","","Squatinidae","","","","Squatina","","","","californica","","Squatina californica"
310,"Animalia","","Chordata","Vertebrata","","Chondrichthyes","Elasmobranchii","Euselachii","Neoselachii","Selachii","","Squaliformes","","","","Squalidae","","","","Squalus","","","","suckleyi","","Squalus suckleyi"
311,"Animalia","","Chordata","Vertebrata","","Chondrichthyes","Elasmobranchii","Euselachii","Neoselachii","Selachii","","Squaliformes","","","","Etmopteridae","","","","Centroscyllium","","","","nigrum","","Centroscyllium nigrum"
320,"Animalia","","Chordata","Vertebrata","","Chondrichthyes","Elasmobranchii","Euselachii","Neoselachii","Selachii","","Squaliformes","","","","Somniosidae","","","","Somniosus","","","","pacificus","","Somniosus pacificus"
332,"Animalia","","Chordata","Vertebrata","","Chondrichthyes","Elasmobranchii","Euselachii","Neoselachii","Selachii","","Carcharhiniformes","","","","Triakidae","","","","Galeorhinus","","","","galeus","","Galeorhinus galeus"
339,"Animalia","","Chordata","Vertebrata","","Chondrichthyes","Elasmobranchii","Euselachii","Neoselachii","Selachii","","Carcharhiniformes","","","","Triakidae","","","","Mustelus","","","","","","Mustelus sp."
340,"Animalia","","Chordata","Vertebrata","","Chondrichthyes","Elasmobranchii","Euselachii","Neoselachii","Selachii","","Carcharhiniformes","","","","Triakidae","","","","Mustelus","","","","henlei","","Mustelus henlei"
341,"Animalia","","Chordata","Vertebrata","","Chondrichthyes","Elasmobranchii","Euselachii","Neoselachii","Selachii","","Carcharhiniformes","","","","Triakidae","","","","Mustelus","","","","californicus","","Mustelus californicus"
351,"Animalia","","Chordata","Vertebrata","","Chondrichthyes","Elasmobranchii","Euselachii","Neoselachii","Selachii","","Carcharhiniformes","","","","Carcharhinidae","","","","Prionace","","","","glauca","","Prionace glauca"
355,"Animalia","","Chordata","Vertebrata","","Chondrichthyes","Elasmobranchii","Euselachii","Neoselachii","Selachii","","Carcharhiniformes","","","","Triakidae","","","","Triakis","","","","semifasciata","","Triakis semifasciata"
400,"Animalia","","Chordata","Vertebrata","","Chondrichthyes","Elasmobranchii","Euselachii","Neoselachii","Batoidea","","Rajiformes","","","","Rajidae","","","","","","","","","","Rajidae unid."
401,"Animalia","","Chordata","Vertebrata","","Chondrichthyes","Elasmobranchii","Euselachii","Neoselachii","Batoidea","","Rajiformes","","","","Rajidae","","","","","","","","","","Rajidae unid."
402,"Animalia","","Chordata","Vertebrata","","Chondrichthyes","Elasmobranchii","Euselachii","Neoselachii","Batoidea","","Rajiformes","","","","Rajidae","","","","Bathyraja","","","","","","Bathyraja sp."
403,"Animalia","","Chordata","Vertebrata","","Chondrichthyes","Elasmobranchii","Euselachii","Neoselachii","Batoidea","","Rajiformes","","","","Rajidae","","","","Raja","","","","","","Raja sp."
