"Id","Area_km2","Lon","Lat","DEPTH_EFH","E_km","N_km","shallower_than_700m","trawlable","shallow_trawlable","LOG_DEPTH_EFH","LOG_DEPTH_EFH_CEN","LOG_DEPTH_EFH_CEN_SQ","stratum"
718241,13.719616,-135.0945716,56.44147499,130,1596.72867522376,6399.92038503701,TRUE,TRUE,TRUE,4.86753445045558,-0.30188453120554,0.0911342701811889,150
718242,13.719616,-135.0368534,56.43213475,64,1600.49067197691,6399.8422817424,TRUE,FALSE,FALSE,4.15888308335967,-1.56127249603014,2.43757180686018,50
718243,10.86601782,-134.9791646,56.42276673,57,1604.25301018026,6399.76404358916,TRUE,TRUE,TRUE,4.04305126783455,-1.76712434531667,3.12272845181086,50
719257,10.70564056,-155.0608573,57.87820501,40,377.782459556955,6417.01232564374,TRUE,TRUE,TRUE,3.68887945411394,-2.39654487618749,5.7434273435805,20
719258,13.719616,-154.9982551,57.87871906,130,381.496060909762,6416.95813634723,TRUE,TRUE,TRUE,4.86753445045558,-0.30188453120554,0.0911342701811889,121
719259,13.719616,-154.935651,57.87920186,210,385.209630896486,6416.90390470747,TRUE,TRUE,TRUE,5.34710753071747,0.550394309391034,0.302933895810033,121
719260,13.719616,-154.8730454,57.8796534,269,388.923153502707,6416.84963023651,TRUE,TRUE,TRUE,5.59471137960184,0.990426350262015,0.980944355293336,232
719261,13.719616,-154.8104381,57.88007368,291,392.636648324214,6416.7953125329,TRUE,TRUE,TRUE,5.67332326717149,1.13013237454175,1.27719918398737,232
719262,13.719616,-154.7478294,57.8804627,292,396.350105310226,6416.74095201907,TRUE,TRUE,TRUE,5.67675380226828,1.13622898962556,1.29101631686553,232
719263,13.719616,-154.6852194,57.88082046,288,400.063526268814,6416.68654876977,TRUE,TRUE,TRUE,5.66296048013595,1.11171602782941,1.23591252653281,232
719264,13.719616,-154.6226082,57.88114696,275,403.776913008197,6416.63210285155,TRUE,TRUE,TRUE,5.61677109766657,1.02963003309974,1.06013800506097,232
719265,13.719616,-154.5599959,57.8814422,262,407.490267336714,6416.57761432274,TRUE,TRUE,TRUE,5.5683445037611,0.943568152217558,0.890320857879257,232
719266,13.719616,-154.4973825,57.88170618,251,411.203596992319,6416.5230831022,TRUE,TRUE,TRUE,5.52545293913178,0.867342912565487,0.752283727977582,232
719267,13.719616,-154.4347683,57.8819389,244,414.916891924505,6416.46850949986,TRUE,TRUE,TRUE,5.4971682252932,0.817076406564383,0.667613854164166,232
719268,13.719616,-154.3721533,57.88214035,235,418.630159848727,6416.4138922995,TRUE,TRUE,TRUE,5.45958551414416,0.750285857213509,0.56292886753461,232
719269,13.719616,-154.3095377,57.88231053,226,422.343396647012,6416.35923164137,TRUE,TRUE,TRUE,5.42053499927229,0.680886783517537,0.463606811968857,232
719270,13.719616,-154.2469215,57.88244946,226,426.056610101606,6416.30452964333,TRUE,TRUE,TRUE,5.42053499927229,0.680886783517537,0.463606811968857,232
719271,13.719616,-154.1843048,57.88255712,219,429.769801978962,6416.24978408809,TRUE,TRUE,TRUE,5.3890717298165,0.624971470676143,0.390589339159101,232
719272,13.719616,-154.1216879,57.88263351,214,433.482962231125,6416.19499517318,TRUE,TRUE,TRUE,5.36597601502185,0.583926654279893,0.340970337578509,232
719273,13.719616,-154.0590707,57.88267864,215,437.196104546334,6416.14016378584,TRUE,TRUE,TRUE,5.37063802812766,0.592211804735996,0.350714821668666,232
719274,13.719616,-153.9964534,57.8826925,221,440.909224786605,6416.08528888467,TRUE,TRUE,TRUE,5.39816270151775,0.641127596072522,0.411044594445731,232
719275,13.719616,-153.9338361,57.88267509,224,444.622324763017,6416.03037042949,TRUE,TRUE,TRUE,5.41164605185504,0.665089687911674,0.442344292966449,121
719276,13.62155176,-153.8712189,57.88262642,203,448.33540630082,6415.97540948514,TRUE,TRUE,TRUE,5.31320597904179,0.490145775130528,0.240242880878306,121
719277,12.817286,-153.808602,57.88254649,92,452.048465277629,6415.92040606592,TRUE,TRUE,TRUE,4.52178857704904,-0.916330804893509,0.839662143996787,35
719280,10.77911507,-153.6207537,57.8821191,33,463.187548593015,6415.75513543499,TRUE,FALSE,FALSE,3.49650756146648,-2.7384208078795,7.49894852102743,0
719281,13.719616,-153.5581388,57.8819141,234,466.900547232825,6415.69995780623,TRUE,TRUE,TRUE,5.4553211153577,0.742707331639099,0.55161418047047,35
719282,12.80563597,-153.4955246,57.88167785,166,470.613538289917,6415.64473830624,TRUE,TRUE,TRUE,5.11198778835654,0.132548542670128,0.0175691161639748,35
719286,7.726223125,-153.2450782,57.8804202,126,485.465379653152,6415.42342295733,TRUE,TRUE,TRUE,4.83628190695148,-0.357425349987167,0.127752880813449,35
719293,12.92956646,-152.806853,57.87701587,58,511.455873748059,6415.03444126557,TRUE,TRUE,TRUE,4.06044301054642,-1.73621640881128,3.01444741822555,35
719294,13.71885736,-152.744257,57.87640452,90,515.168795792656,6414.97869659676,TRUE,TRUE,TRUE,4.49980967033027,-0.955390872914068,0.912771720047505,35
719299,10.34134359,-152.4313126,57.87287908,84,533.733465845969,6414.69931217992,TRUE,FALSE,FALSE,4.43081679884331,-1.07800235162388,1.16208907010661,30
719300,13.26290496,-152.3687316,57.87208026,147,537.446420805049,6414.64330183727,TRUE,FALSE,FALSE,4.99043258677874,-0.0834746882681955,0.00696802358147242,30
719301,13.719616,-152.3061535,57.87125021,157,541.15938453548,6414.58724786979,TRUE,TRUE,TRUE,5.05624580534831,0.033486033521637,0.00112131444101219,30
719302,13.719616,-152.2435785,57.87038892,65,544.872352901821,6414.53114878649,TRUE,FALSE,FALSE,4.17438726989564,-1.53371905179167,2.35229412982874,30
719303,13.719616,-152.1810065,57.86949639,93,548.585339554407,6414.47500439489,TRUE,TRUE,TRUE,4.53259949315326,-0.897118060429086,0.804820814348046,30
719304,13.719616,-152.1184378,57.86857264,105,552.298334385479,6414.41881645545,TRUE,TRUE,TRUE,4.65396035015752,-0.681440211195097,0.464360761433618,30
719305,13.719616,-152.0558725,57.86761765,105,556.011339204115,6414.362582389,TRUE,TRUE,TRUE,4.65396035015752,-0.681440211195097,0.464360761433618,30
719306,13.719616,-151.9933106,57.86663144,125,559.724361692871,6414.30630414937,TRUE,TRUE,TRUE,4.8283137373023,-0.371586074743795,0.138076210943501,130
719307,13.719616,-151.9307522,57.86561401,125,563.437403628135,6414.24998138375,TRUE,TRUE,TRUE,4.8283137373023,-0.371586074743795,0.138076210943501,130
719308,13.719616,-151.8681975,57.86456535,87,567.150460871186,6414.19361251861,TRUE,TRUE,TRUE,4.46590811865458,-1.01563940717457,1.03152340540592,31
719309,13.719616,-151.8056466,57.86348548,82,570.863535159786,6414.13719939453,TRUE,TRUE,TRUE,4.40671924726425,-1.12082759383681,1.25625449510601,31
719310,13.719616,-151.7430996,57.86237438,79,574.576628305117,6414.08073939094,TRUE,TRUE,TRUE,4.36944785246702,-1.1870648837361,1.4091230381994,31
719311,13.719616,-151.6805566,57.86123208,82,578.289742016948,6414.02423544496,TRUE,TRUE,TRUE,4.40671924726425,-1.12082759383681,1.25625449510601,31
